date, pm25, pm10, o3, no2, so2, co
1/29/2019,165,94,34,38,1, 
1/30/2019,177,79,24,21, , 
1/31/2019,167,61,23,14, , 
2/1/2019,128,57,25,12, , 
2/2/2019,115,44,17,9, , 
2/3/2019,94,50,20,10,1, 
2/4/2019,99,48,19,9, , 
2/5/2019,95,38,11,7, , 
2/6/2019,77,41,15,8,1, 
2/7/2019,87,43,17,9,1, 
2/8/2019,86,36,11,8, , 
2/9/2019,73,40,14,6, , 
2/10/2019,80,41,13,8, , 
2/11/2019,87,50,19,19, , 
2/12/2019,101,72,34,16, , 
2/13/2019,143,50,16,7, , 
2/14/2019,90,50,16,8, , 
2/15/2019,92,43,15,6,1, 
2/16/2019,82,36,14,5, , 
2/17/2019,69,31,12,6,1, 
2/18/2019,66,26,11,6, , 
2/19/2019,56,26,12,7,1, 
2/20/2019,60,34,15,8,1, 
2/21/2019,74,31,9,7, , 
2/22/2019,63,37,15,7, , 
2/23/2019,77,38,14,5, , 
2/24/2019,75,38,15,5, , 
2/25/2019,77,38,17,6,1, 
2/26/2019,79,50,19,8, , 
2/27/2019,96,52,19,7, , 
2/28/2019,104,50,14,7, , 
3/1/2019,95,52,15,6, , 
3/2/2019,100,47,18,4,1, 
3/3/2019,93,40,14,5,1, 
3/4/2019,80,46,15,7,1, 
3/5/2019,98,46,15,9,1, 
3/6/2019,100,29,9,6, , 
3/7/2019,69,33,12,8, , 
3/8/2019,76,31,12,6, , 
3/9/2019,71,31,13,6,1, 
3/10/2019,69,39,25,7, , 
3/11/2019,75,51,35,12, , 
3/12/2019,116,42,14,8, , 
3/13/2019,83,34,12,6, , 
3/14/2019,72,31,12,6, , 
3/15/2019,64,47,8,13, , 
3/16/2019,101,47,16,11,1, 
3/17/2019,102,51,13,11, , 
3/18/2019,109,45,12,7, , 
3/19/2019,93,41,9,6, , 
3/20/2019,90,36,6,8, , 
3/21/2019,79,47,8,9,1, 
3/22/2019,104,53,3,11, , 
3/23/2019,111,44,4,5, , 
3/24/2019,96,34,2,8, , 
3/25/2019,83,38,5,10, , 
3/26/2019,77,36,4,6, , 
3/27/2019,74,41,7,8, , 
3/28/2019,78,40,3,7, , 
3/29/2019,80,38,4,7, , 
3/30/2019,81,39,3,7, , 
3/31/2019,86,38,13,8, , 
10/1/2018,61,41,6,17,1, 
10/2/2018,76,60,23,19, , 
10/3/2018,113,58,28,15, , 
10/4/2018,110,27,17,10,1, 
10/5/2018,62,35,15,14,1, 
10/6/2018,75,38,18,14,1, 
10/7/2018,83,45,14,18,1, 
10/8/2018,94,40,15,18,1, 
10/9/2018,87,50,17,18,1, 
10/10/2018,101,50,19,16,1, 
10/11/2018,93,36,19,11, , 
10/12/2018,69,46,16,18,1, 
10/13/2018,101,41,23,15,1, 
10/14/2018,90,32,16,13,1, 
10/15/2018,73,29,10,11,1, 
10/16/2018,62,33,11,13,1, 
10/17/2018,70,40,12,20,1, 
10/18/2018,78,53,20,25,1, 
10/19/2018,97,45,5,18, , 
10/20/2018,82,20,5,11, , 
10/21/2018,47,31,10,14,1, 
10/22/2018,61,33,10,15, , 
10/23/2018,71,39,12,17,1, 
10/24/2018,79,54,10,20,1, 
10/25/2018,101,45,14,17,1, 
10/26/2018,81,43,14,16,1, 
10/27/2018,86,34,17,12,1, 
10/28/2018,67,48,21,16,1, 
10/29/2018,88,48,22,12, , 
10/30/2018,87,57,27,11, , 
10/31/2018,93,61,29,18,1, 
11/1/2018,111,72,27,28,1, 
11/2/2018,128,77,29,25,2, 
11/3/2018,138,73,32,20,1, 
11/4/2018,139,73,30,22,1, 
11/5/2018,137,66,21,20,1, 
11/6/2018,121,56,15,18,1, 
11/7/2018,95,41,10,11,1, 
11/8/2018,73,37,4,12,1, 
11/9/2018,74,42,8,12,1, 
11/10/2018,81,40,14,14,1, 
11/11/2018,81,61,20,24,1, 
11/12/2018,116,72,14,26,2, 
11/13/2018,140,67,15,23,1, 
11/14/2018,126,68,20,22,2, 
11/15/2018,133,46,14,14,1, 
11/16/2018,88,45,13,17,1, 
11/17/2018,82,56,14,22,1, 
11/18/2018,107,64,15,22,1, 
11/19/2018,118,52,18,22,1, 
11/20/2018,91,59,21,20,1, 
11/21/2018,111,61,16,23,1, 
11/22/2018,113,52,19,17,1, 
11/23/2018,95,53,23,20,1, 
11/24/2018,89,61,23,23,1, 
11/25/2018,113,58,29,21,1, 
11/26/2018,113,52,18,14,1, 
11/27/2018,101,41,15,14,1, 
11/28/2018,80,56,18,20,3, 
11/29/2018,105,67,17,24,2, 
11/30/2018,129,66,17,23,1, 
12/1/2018,129,65,19,19,1, 
12/2/2018,124,57,19,19,1, 
12/3/2018,108,64,19,22,1, 
12/4/2018,122,56,17,15,1, 
12/5/2018,106,55,17,15,1, 
12/6/2018,98,65,16,20,1, 
12/7/2018,123,37,3,12,1, 
12/8/2018,79,47,11,11,1, 
12/9/2018,92,56,15,19,1, 
12/10/2018,97,58,15,21,1, 
12/11/2018,108,45,9,16,1, 
12/12/2018,84,48,15,17,1, 
12/13/2018,83,57,17,22,1, 
12/14/2018,95,58,15,21,1, 
12/15/2018,101,50,17,18,1, 
12/16/2018,91,46,22,17,1, 
12/17/2018,87,55,21,18,1, 
12/18/2018,98,69,25,23,1, 
12/19/2018,137,88,31,33,2, 
12/20/2018,167,87,34,29,2, 
12/21/2018,169,75,30,21,1, 
12/22/2018,143,72,21,16,1, 
12/23/2018,142,66,22,18,1, 
12/24/2018,124,74,19,27,2, 
12/25/2018,141,84,24,31,2, 
12/26/2018,160,83,23,31,2, 
12/27/2018,156,81,28,24,1, 
12/28/2018,162,38,17,10, , 
12/29/2018,97,37,17,12,1, 
12/30/2018,81, , , , , 
7/1/2018,54,22,8,9, , 
7/2/2018,47,29,10,11, , 
7/3/2018,58,21,9,8, , 
7/4/2018,52,24,11,10, , 
7/5/2018,52,27,9,10, , 
7/6/2018,59,34,10,11, , 
7/7/2018,67,51,9,10, , 
7/8/2018,77,42,10,9, , 
7/9/2018,69,42,9,12, , 
7/10/2018,78,28,8,10, , 
7/11/2018,56,25,10,11, , 
7/12/2018,59,25,11,9, , 
7/13/2018,59,34,10,11,1, 
7/14/2018,73,34,9,9, , 
7/15/2018,67,37,9,9, , 
7/16/2018,69,36,5,11, , 
7/17/2018,68,24,10,9, , 
7/18/2018,49,28,8,8,1, 
7/19/2018,52,35,6,7,2, 
7/20/2018,58,39,8,9, , 
7/21/2018,64,35,8,8, , 
7/22/2018,64,43,8,10, , 
7/23/2018,71,44,8,10, , 
7/24/2018,79,46,6,8, , 
7/25/2018,76,41,6,9, , 
7/26/2018,69,42,8,7, , 
7/27/2018,72,34,8,6, , 
7/28/2018,63,35,5,7, , 
7/29/2018,68,36,4,8, , 
7/30/2018,67,39,8,10, , 
7/31/2018,70,35,11,9, , 
8/1/2018,69,37,9,10, , 
8/2/2018,68,35,11,9, , 
8/3/2018,66,32,11,8, , 
8/4/2018,57,30,11,7, , 
8/5/2018,57,29,6,10, , 
8/6/2018,62,41,5,10, , 
8/7/2018,70,44,9,11,2, 
8/8/2018,77,40,9,10, , 
8/9/2018,67,31,13,9, , 
8/10/2018,64,25,8,7, , 
8/11/2018,52,22,9,6, , 
8/12/2018,48,31,6,4, , 
8/13/2018,59,31,9,6, , 
8/14/2018,56,28,7,7, , 
8/15/2018,54,30,8,8, , 
8/16/2018,59,23,8,8, , 
8/17/2018,52,20,9,6, , 
8/18/2018,38,19,10,5, , 
8/19/2018,39,28,7,6, , 
8/20/2018,54,49,9,8,1, 
8/21/2018,76,42,11,9, , 
8/22/2018,74,44,10,8, , 
8/23/2018,76,32,8,9, , 
8/24/2018,64,24,6,8, , 
8/25/2018,56,23,5,6, , 
8/26/2018,54,25,7,7, , 
8/27/2018,54,35,10,8, , 
8/28/2018,68,41,8,7,1, 
8/29/2018,77,24,7,6, , 
8/30/2018,50,27,8,7, , 
8/31/2018,54,29,13,8, , 
9/1/2018,63,32,10,7, , 
9/2/2018,59,25,14,9, , 
9/3/2018,55,20,9,8, , 
9/4/2018,47,28,11,9, , 
9/5/2018,56,35,9,9, , 
9/6/2018,62,41,14,10, , 
9/7/2018,75,41,10,11, , 
9/8/2018,80,46,14,16, , 
9/9/2018,98,49,23,16, , 
9/10/2018,100,35,12,10, , 
9/11/2018,63,40,7,10, , 
9/12/2018,71,39,9,9, , 
9/13/2018,68,31,5,9, , 
9/14/2018,62,29,22,10, , 
9/15/2018,57,30,19,12, , 
9/16/2018,59,30,13,11, , 
9/17/2018,57,21,15,8, , 
9/18/2018,49,27,4,10, , 
9/19/2018,59,43,20,14, , 
9/20/2018,80,53,17,17, , 
9/21/2018,89,39,20,14, , 
9/22/2018,82,31,12,13,1, 
9/23/2018,73,41,3,14, , 
9/24/2018,76,39,15,12, , 
9/25/2018,69,27,15,10,1, 
9/26/2018,57,27,12,11, , 
9/27/2018,50,37,16,16,1, 
9/28/2018,66,45,22,15, , 
9/29/2018,89,24,20,12, , 
9/30/2018,57,27,13,13, , 
4/1/2018,124,58,16,17, , 
4/2/2018,123,55,30,17, , 
4/3/2018,120,47,14,10, , 
4/4/2018,91,55,16,11, , 
4/5/2018,97,60,28,13, , 
4/6/2018,123,30,15,9, , 
4/7/2018,65,45,25,14, , 
4/8/2018,83,69,28,22,1, 
4/9/2018,121,73,39,24,2, 
4/10/2018,141,48,23,9,1, 
4/11/2018,90,36,16,6, , 
4/12/2018,67,31,14,5,1, 
4/13/2018,66,30,14,4, , 
4/14/2018,68,29,14,5,1, 
4/15/2018,66,36,27,8,1, 
4/16/2018,81,28,11,11, , 
4/17/2018,62,44,37,16,1, 
4/18/2018,87,33,22,10,1, 
4/19/2018,73,33,13,7,1, 
4/20/2018,67,34,15,7,1, 
4/21/2018,72,29,13,5,1, 
4/22/2018,63,42,28,9,1, 
4/23/2018,83,36,14,7,1, 
4/24/2018,75,45,14,10,1, 
4/25/2018,84,38,10,11,1, 
4/26/2018,74,36,22,16,1, 
4/27/2018,74,27,4,17,1, 
4/28/2018,64,36,16,12,1, 
4/29/2018,76,28,3,11,1, 
4/30/2018,63,19,12,9,1, 
5/1/2018,47,25,10,10, , 
5/2/2018,46,36,12,14,1, 
5/3/2018,64,36,19,14,2, 
5/4/2018,69,27,14,11,1, 
5/5/2018,56,25,9,9, , 
5/6/2018,54,31,18,12, , 
5/7/2018,64,38,27,15, , 
5/8/2018,67,34,11,13, , 
5/9/2018,62,30,18,11, , 
5/10/2018,58,33,9,19, , 
5/11/2018,65,46,18,19, , 
5/12/2018,88,37,18,15, , 
5/13/2018,77,34,18,18, , 
5/14/2018,68,44,16,21,1, 
5/15/2018,83,29,13,12, , 
5/16/2018,61,24,11,10, , 
5/17/2018,56,32,8,14, , 
5/18/2018,62,29,15,16, , 
5/19/2018,66,40,24,17, , 
5/20/2018,83,39,8,19, , 
5/21/2018,75,40,8,20, , 
5/22/2018,79,38,23,21, , 
5/23/2018,73,26,8,14, , 
5/24/2018,49,26,12,14, , 
5/25/2018,54,28,7,15,1, 
5/26/2018,58,27,17,11, , 
5/27/2018,62,38,19,18, , 
5/28/2018,75,23,9,9, , 
5/29/2018,50,26,9,11, , 
5/30/2018,54,39,12,17, , 
5/31/2018,72,32,10,13,2, 
6/1/2018,63,30,14,13,1, 
6/2/2018,60,26,15,9,1, 
6/3/2018,52,24,17,10,1, 
6/4/2018,52,24,13,10,2, 
6/5/2018,47,29,14,11,1, 
6/6/2018,60,25,8,10,1, 
6/7/2018,54,22,8,9,2, 
6/8/2018,48,23,5,8,2, 
6/9/2018,52,25,5,6,2, 
6/10/2018,48,26,5,6,3, 
6/11/2018,48,24,7,6,1, 
6/12/2018,43,26,7,6, , 
6/13/2018,47,27,8,8, , 
6/14/2018,52,29,8,8, , 
6/15/2018,60,32,7,10,1, 
6/16/2018,62,30,15,8, , 
6/17/2018,60,35,14,11,4, 
6/18/2018,71,40,15,10, , 
6/19/2018,78,27,12,8, , 
6/20/2018,57,31,9,8,1, 
6/21/2018,60,49,17,11,1, 
6/22/2018,75,54,14,8,1, 
6/23/2018,76,42,13,8, , 
6/24/2018,67,25,11,11,1, 
6/25/2018,51,30,5,10,1, 
6/26/2018,62,32,2,11,1, 
6/27/2018,64,31,10,13, , 
6/28/2018,65,38,20,14,1, 
6/29/2018,72,28,10,9,1, 
6/30/2018,57,23,16,10, , 
1/1/2018,94,43,25,13, , 
1/2/2018,103,56,21,19,1, 
1/3/2018,129,63,27,20,1, 
1/4/2018,132,70,34,26,1, 
1/5/2018,145,66,28,23,2, 
1/6/2018,136,29,11,10, , 
1/7/2018,70,27,9,11,2, 
1/8/2018,61,34,14,15, , 
1/9/2018,72,23,8,12, , 
1/10/2018,66,58,11,18, , 
1/11/2018,107,59,18,19,1, 
1/12/2018,122,65,19,21, , 
1/13/2018,136,65,23,20,1, 
1/14/2018,134,75,22,23,1, 
1/15/2018,153,82,28,31,2, 
1/16/2018,160,96,35,32,2, 
1/17/2018,174,78,25,25,2, 
1/18/2018,148,77,23,26,1, 
1/19/2018,140,74,21,22,2, 
1/20/2018,143,89,25,32,2, 
1/21/2018,167,93,23,31,2, 
1/22/2018,183,79,19,28,2, 
1/23/2018,166,75,9,23,1, 
1/24/2018,172,49,8,14,2, 
1/25/2018,101,33,11,12, , 
1/26/2018,76,28,7,9,1, 
1/27/2018,73,29,6,9, , 
1/28/2018,70,32,9,10, , 
1/29/2018,75,31,10,9, , 
1/30/2018,77,31,7,11, , 
1/31/2018,82,52,24,13, , 
2/1/2018,114,64,23,15, , 
2/2/2018,148,70,15,18, , 
2/3/2018,145,73,29,17, , 
2/4/2018,160,74,29,18,1, 
2/5/2018,163,69,30,15,1, 
2/6/2018,153,88,38,26,1, 
2/7/2018,173,85,34,23,2, 
2/8/2018,170,67,22,15,3, 
2/9/2018,143,62,23,13,4, 
2/10/2018,138,63,20,16,5, 
2/11/2018,141,71,26,14,4, 
2/12/2018,153,66,30,16,3, 
2/13/2018,145,89,40,37,5, 
2/14/2018,170,75,31,19,6, 
2/15/2018,156,63,17,14,4, 
2/16/2018,141,60,14,13, , 
2/17/2018,137,55,16,7,1, 
2/18/2018,124,51,9,10,1, 
2/19/2018,110,26,7,7,1, 
2/20/2018,61,34,9,8,1, 
2/21/2018,76,43,13,8,3, 
2/22/2018,86,44,14,15,3, 
2/23/2018,101,58,20,19,3, 
2/24/2018,122,58,17,20,4, 
2/25/2018,112,57,23,16,6, 
2/26/2018,131,49,13,15,6, 
2/27/2018,99,60,22,19,7, 
2/28/2018,120,45,15,9,8, 
3/1/2018,87,41,11,8,9, 
3/2/2018,83,29,10,7,11, 
3/3/2018,64,27,11,7,13, 
3/4/2018,61,28,12,8,15, 
3/5/2018,55,29,14,9,19, 
3/6/2018,62,31,9,8,23, 
3/7/2018,65,44,13,12,31, 
3/8/2018,87,42,7,12,51, 
3/9/2018,96,65,17,20,42, 
3/10/2018,127,75,31,21,38, 
3/11/2018,156,89,29,26,64, 
3/12/2018,167,58,20,12,22, 
3/13/2018,124,48,13,9, , 
3/14/2018,95,42,13,9, , 
3/15/2018,89,42,10,9, , 
3/16/2018,88,30,12,7, , 
3/17/2018,74,24,11,6, , 
3/18/2018,68,26,10,7, , 
3/19/2018,66,37,19,9, , 
3/20/2018,83,41,14,12, , 
3/21/2018,86,48,19,15, , 
3/22/2018,112,60,24,14, , 
3/23/2018,138,67,26,18, , 
3/24/2018,143,58,19,12, , 
3/25/2018,124,56,15,10, , 
3/26/2018,101,58,18,17, , 
3/27/2018,123,51,13,9, , 
3/28/2018,101,46,12,9, , 
3/29/2018,91,54,13,9, , 
3/30/2018,95,52,9,13, , 
3/31/2018,102,60,11,17, , 
10/1/2017,108,34,3,16, , 
10/2/2017,85,32,5,15, , 
10/3/2017,78,30,6,11,1, 
10/4/2017,71,31,7,12,1, 
10/5/2017,73,40,7,12,1, 
10/6/2017,76, , , , , 
10/8/2017,85,31,16,13, , 
10/9/2017,70,42,12,19,1, 
10/10/2017,89,35,7,14,1, 
10/11/2017,79,53,11,24,1, 
10/12/2017,116,62,9,22,1, 
10/13/2017,140,37,12,16, , 
10/14/2017,88,31,10,9,1, 
10/15/2017,71,28,10,11,1, 
10/16/2017,62,35,9,12,1, 
10/17/2017,68,35,5,17,1, 
10/18/2017,81,32,7,13,1, 
10/19/2017,79,26,11,11, , 
10/20/2017,69,48,10,16,1, 
10/21/2017,110,33,16,14, , 
10/22/2017,98,22,16,10, , 
10/23/2017,66,23,14,15, , 
10/24/2017,70,35,17,17,1, 
10/25/2017,86,45,21,19,1, 
10/26/2017,107,50,21,25,1, 
10/27/2017,130,51,23,14,1, 
10/28/2017,119,57,22,11, , 
10/29/2017,149,59,25,11,1, 
10/30/2017,139,58,28,15, , 
10/31/2017,133,61,21,18,1, 
11/1/2017,147,58,24,19,1, 
11/2/2017,118,59,27,19, , 
11/3/2017,116,67,28,19,1, 
11/4/2017,135,53,22,9,1, 
11/5/2017,95,63,20,17,1, 
11/6/2017,132,52,24,14,1, 
11/7/2017,115,52,17,20,1, 
11/8/2017,113,44,18,18,1, 
11/9/2017,94,44,14,16,1, 
11/10/2017,94,35,6,13,1, 
11/11/2017,76,37,18,13,1, 
11/12/2017,87,47,18,17,2, 
11/13/2017,100,48,18,21,2, 
11/14/2017,115,43,17,21,1, 
11/15/2017,115,34,8,15,1, 
11/16/2017,80,52,10,21,1, 
11/17/2017,105,66,17,24,1, 
11/18/2017,139,49,13,19,1, 
11/19/2017,115,29,8,15,1, 
11/20/2017,77,27,11,12,1, 
11/21/2017,72,34,15,16,1, 
11/22/2017,88,28,17,15,1, 
11/23/2017,69,33,20,14, , 
11/24/2017,78,47,23,21,1, 
11/25/2017,95,46,24,18,1, 
11/26/2017,97,43,19,20,1, 
11/27/2017,93,46,18,18,1, 
11/28/2017,105,37,20,17,1, 
11/29/2017,95,39,19,20,1, 
11/30/2017,96,45,18,18,1, 
12/1/2017,103,45,23,20,1, 
12/2/2017,101,39,23,20,1, 
12/3/2017,93,39,24,17,1, 
12/4/2017,88,34,16,12,1, 
12/5/2017,84,48,24,17,1, 
12/6/2017,106,52,25,18,1, 
12/7/2017,118,54,23,18,1, 
12/8/2017,114,40,26,13,1, 
12/9/2017,95,62,35,24,2, 
12/10/2017,142,76,32,31,2, 
12/11/2017,164,58,19,18,2, 
12/12/2017,125,50,17,19,1, 
12/13/2017,107,48,14,19,2, 
12/14/2017,108,59,20,21,2, 
12/15/2017,124,50,21,14,1, 
12/16/2017,113,26,22,7,1, 
12/17/2017,67,50,26,11,1, 
12/18/2017,108,63,25,15,1, 
12/19/2017,129,71,25,20,2, 
12/20/2017,140,70,25,21,2, 
12/21/2017,151,72,27,21,2, 
12/22/2017,157,75,36,24,2, 
12/23/2017,161,70,31,19,2, 
12/24/2017,142,50,20,18,1, 
12/25/2017,102,69,14,19,1, 
12/26/2017,160,45,9,17,1, 
12/27/2017,144,30,12,13, , 
12/28/2017,96,33,21,12, , 
12/29/2017,84,33,23,14,1, 
12/30/2017,87,34,18,13, , 
12/31/2017,82,35,22,12, , 
7/1/2017,66,32,9,8,1, 
7/2/2017,68,29,9,9, , 
7/3/2017,64,32,5,8,1, 
7/4/2017,66,32,7,9,1, 
7/5/2017,64,29,11,9,2, 
7/6/2017,66,19,7,7,1, 
7/7/2017,48,24,7,9,1, 
7/8/2017,65,22,13,6,1, 
7/9/2017,57,28,12,11,1, 
7/10/2017,65,29,11,8,1, 
7/11/2017,74,24,8,10,1, 
7/12/2017,71,20,6,8,1, 
7/13/2017,62,25,8,9,1, 
7/14/2017,68,27,14,10,1, 
7/15/2017,74,21,11,7,1, 
7/16/2017,65,23,8,8, , 
7/17/2017,66,29,10,8,1, 
7/18/2017,71,24,5,8,1, 
7/19/2017,67,25,7,9,1, 
7/20/2017,71,27,13,9,1, 
7/21/2017,70,23,14,8, , 
7/22/2017,62,24,13,7,1, 
7/23/2017,65,25,10,7, , 
7/24/2017,70,24,7,7,1, 
7/25/2017,63,21,5,6, , 
7/26/2017,63,24,10,9,1, 
7/27/2017,70,23,13,8, , 
7/28/2017,63,32,10,10,1, 
7/29/2017,74,40,15,7, , 
7/30/2017,81,46,15,7,1, 
7/31/2017,80,51,17,8,1, 
8/1/2017,90,40,14,9,1, 
8/2/2017,78,39,5,10,1, 
8/3/2017,85,34,7,8,1, 
8/4/2017,70,29,6,7,1, 
8/5/2017,69,30,6,8,1, 
8/6/2017,69,26,7,9,1, 
8/7/2017,70,27,7,10,1, 
8/8/2017,67,28,12,10,1, 
8/9/2017,69,28,13,10,1, 
8/10/2017,70,26,9,8,1, 
8/11/2017,58,19,19,7,1, 
8/12/2017,54,19,22,7, , 
8/13/2017,54,27,20,9, , 
8/14/2017,60,22,9,8, , 
8/15/2017,55,24,6,9,1, 
8/16/2017,62,19,4,8, , 
8/17/2017,56,31,13,11,1, 
8/18/2017,72,39,11,8, , 
8/19/2017,59,20,7,6, , 
8/20/2017,45,16,13,6,1, 
8/21/2017,53,23,16,5,2, 
8/22/2017,62,27,16,6,2, 
8/23/2017,63,23,10,8,3, 
8/24/2017,68,19,10,8,2, 
8/25/2017,58,25,9,9,1, 
8/26/2017,65,22,9,7,24, 
8/27/2017,55,26,13,8, , 
8/28/2017,65,38,4,13,1, 
8/29/2017,81,40,14,9,1, 
8/30/2017,78,28,15,10,1, 
8/31/2017,72,30,19,8,1, 
9/1/2017,69,32,9,8,1, 
9/2/2017,66,24,9,6,1, 
9/3/2017,57,22,13,7, , 
9/4/2017,55,23,7,8,1, 
9/5/2017,53,13,1,6,1, 
9/6/2017,56, , , , , 
9/9/2017,76,31,4,16,1, 
9/10/2017,116,43,6,16,1, 
9/11/2017,120,43,7,26,1, 
9/12/2017,113,43,6,26, , 
9/13/2017,108,35,18,12, , 
9/14/2017,77,30,17,12, , 
9/15/2017,69,23,6,9, , 
9/16/2017,57,16,4,7, , 
9/17/2017,44,25,9,9, , 
9/18/2017,58,29,12,10,1, 
9/19/2017,68,38,7,15,1, 
9/20/2017,76,49,30,18,1, 
9/21/2017,113,36,10,20,1, 
9/22/2017,82,35,9,18,1, 
9/23/2017,83,31,13,13, , 
9/24/2017,82,26,10,10, , 
9/25/2017,58,21,8,9,1, 
9/26/2017,51,28,19,15,1, 
9/27/2017,71,25,15,11, , 
9/28/2017,66,30,13,13,1, 
9/29/2017,77,44,15,19,19, 
9/30/2017,98,44,7,19,1, 
4/1/2017,81,34,19,11, , 
4/2/2017,92,52,26,21,1, 
4/3/2017,129,57,23,21,1, 
4/4/2017,140,58,21,25,1, 
4/5/2017,129,44,19,15,1, 
4/6/2017,107,29,13,13,2, 
4/7/2017,71,23,13,8,3, 
4/8/2017,56,17,10,6,5, 
4/9/2017,58,17,9,6,4, 
4/10/2017,56,17,7,6,3, 
4/11/2017,47,12,8,5,4, 
4/12/2017,38,13,12,6, , 
4/13/2017,50,21,18,7, , 
4/14/2017,67,20,16,6, , 
4/15/2017,66,23,13,5, , 
4/16/2017,62,28,14,7, , 
4/17/2017,75,24,14,8, , 
4/18/2017,59,18,16,6, , 
4/19/2017,55,31,20,9,1, 
4/20/2017,71,50,30,12,1, 
4/21/2017,96,65,40,12,1, 
4/22/2017,131,63,28,8, , 
4/23/2017,131,61,27,9, , 
4/24/2017,117,54,24,9,1, 
4/25/2017,102,54,22,12,3, 
4/26/2017,99,51,21,11,3, 
4/27/2017,98,50,13,12,1, 
4/28/2017,97,44,23,14,2, 
4/29/2017,102,45,21,12,3, 
4/30/2017,101,23,12,6,3, 
5/1/2017,61,27,12,9,3, 
5/2/2017,63,29,12,7,3, 
5/3/2017,71,33,11,7,3, 
5/4/2017,74,30,19,17,2, 
5/5/2017,73,51,30,25,3, 
5/6/2017,111,22,28,9,3, 
5/7/2017,71,29,15,14,2, 
5/8/2017,75,31,16,13, , 
5/9/2017,69,32,14,15, , 
5/10/2017,85,32,16,13, , 
5/11/2017,80,32,5,16, , 
5/12/2017,78,34,5,15, , 
5/13/2017,83,24,9,10, , 
5/14/2017,64,22,9,10, , 
5/15/2017,52,23,10,12,1, 
5/16/2017,62,20,5,10, , 
5/17/2017,53,30,13,9, , 
5/18/2017,62,40,10,13, , 
5/19/2017,85,49,23,14,1, 
5/20/2017,92,39,17,8,1, 
5/21/2017,77,44,16,10,1, 
5/22/2017,81,42,11,9, , 
5/23/2017,78,34,13,13, , 
5/24/2017,71,26,28,16,2, 
5/25/2017,70,30,9,15, , 
5/26/2017,69,32,10,20, , 
5/27/2017,82,25,10,12, , 
5/28/2017,67,26,7,10, , 
5/29/2017,67,28,5,11, , 
5/30/2017,72,30,11,13, , 
5/31/2017,77,30,8,10,1, 
6/1/2017,69,29,13,10, , 
6/2/2017,65,19,9,7, , 
6/3/2017,46,17,7,9, , 
6/4/2017,52,22,8,9, , 
6/5/2017,56,21,11,10, , 
6/6/2017,51,25,8,12, , 
6/7/2017,56,27,9,13,2, 
6/8/2017,56,29,6,8, , 
6/9/2017,55,35,8,8, , 
6/10/2017,62,49,10,10,1, 
6/11/2017,77,48,13,10,1, 
6/12/2017,85,41,21,11,1, 
6/13/2017,75,31,12,9,1, 
6/14/2017,60,57,11,10,1, 
6/15/2017,88,54,12,10, , 
6/16/2017,85,45,12,9, , 
6/17/2017,78,31,14,7, , 
6/18/2017,63,33,12,10,1, 
6/19/2017,68,33,15,12, , 
6/20/2017,73,39,12,10,1, 
6/21/2017,72,30,11,10, , 
6/22/2017,68,23,13,9, , 
6/23/2017,58,25,12,8, , 
6/24/2017,59,18,12,9, , 
6/25/2017,59,24,9,9, , 
6/26/2017,63,25,14,10, , 
6/27/2017,65,25,18,9, , 
6/28/2017,60,35,14,11, , 
6/29/2017,70,32,4,10,1, 
6/30/2017,68,31,6,9, , 
1/2/2017,85,36,12,12,1, 
1/3/2017,104,40,11,12,1, 
1/4/2017,109,58,13,15,1, 
1/5/2017,126,52,9,13,1, 
1/6/2017,120,55,12,15,1, 
1/7/2017,130,52,3,14,1, 
1/8/2017,138,41,3,13,1, 
1/9/2017,115,49,3,18,1, 
1/10/2017,153,29,7,11,1, 
1/11/2017,88,27,6,9,1, 
1/12/2017,74,38,17,14,1, 
1/13/2017,87,52,26,16,1, 
1/14/2017,114,62,28,14,1, 
1/15/2017,141,47,25,13,1, 
1/16/2017,113,40,13,15,1, 
1/17/2017,100,48,14,16,1, 
1/18/2017,109,53,22,18,1, 
1/19/2017,124,49,17,13, , 
1/20/2017,106,47,20,9, , 
1/21/2017,102,40,19,8, , 
1/22/2017,92,46,23,9, , 
1/23/2017,102,57,26,15,1, 
1/24/2017,121,63,26,19,1, 
1/25/2017,139,46,19,15,1, 
1/26/2017,104,48,22,14, , 
1/27/2017,107,53,28,13,1, 
1/28/2017,116,64,32,21,2, 
1/29/2017,143,62,24,19,1, 
1/30/2017,138,59,19,20,1, 
1/31/2017,133,59,22,19, , 
2/1/2017,131,61,21,15,1, 
2/2/2017,137,28,9,12, , 
2/3/2017,74,47,26,19,1, 
2/4/2017,105,61,33,21,1, 
2/5/2017,139,71,37,28,2, 
2/6/2017,156,58,31,16,1, 
2/7/2017,134,44,28,13,1, 
2/8/2017,105,58,29,20,2, 
2/9/2017,134,59,25,15,1, 
2/10/2017,132,62,25,10,1, 
2/11/2017,137,54,28,9, , 
2/12/2017,132,61,25,11, , 
2/13/2017,151,69,24,17,1, 
2/14/2017,161,67,20,18,1, 
2/15/2017,149,66,27,22,1, 
2/16/2017,144,67,27,22,1, 
2/17/2017,140,73,27,24,3, 
2/18/2017,154,80,42,25,1, 
2/19/2017,168,63,24,12,1, 
2/20/2017,145,51,23,10,1, 
2/21/2017,128,36,13,7,1, 
2/22/2017,93,26,11,7, , 
2/23/2017,72,24,8,7, , 
2/24/2017,60,26,10,7,1, 
2/25/2017,65,35,10,10,1, 
