date, pm25
19-May-2022-7 AM,5.8
19-May-2022-8 AM,4.63
19-May-2022-9 AM,4.77
19-May-2022-10 AM,7.82
19-May-2022-11 AM,6.13
19-May-2022-12 PM,5.11
19-May-2022-1 PM,4.3
19-May-2022-2 PM,3.82
19-May-2022-3 PM,3.5
19-May-2022-4 PM,1.39
19-May-2022-5 PM,1.01
19-May-2022-6 PM,3.22
19-May-2022-7 PM,1.85
19-May-2022-8 PM,4.41
19-May-2022-9 PM,3.96
19-May-2022-10 PM,3.94
19-May-2022-11 PM,2.88
20-May-2022-12 AM,2.52
20-May-2022-1 AM,2.62
20-May-2022-2 AM,2.46
20-May-2022-3 AM,2.91
20-May-2022-4 AM,2.42
20-May-2022-5 AM,2.63
20-May-2022-6 AM,2.85
20-May-2022-7 AM,2.9
20-May-2022-8 AM,2.62
20-May-2022-9 AM,2.98
20-May-2022-10 AM,2.78
20-May-2022-11 AM,2.54
20-May-2022-12 PM,2.48
20-May-2022-1 PM,1.78
20-May-2022-2 PM,1.73
20-May-2022-3 PM,2.04
20-May-2022-4 PM,2.55
20-May-2022-5 PM,2.88
20-May-2022-6 PM,1.97
20-May-2022-7 PM,2.85
20-May-2022-8 PM,1.61
20-May-2022-9 PM,1.59
20-May-2022-10 PM,1.93
20-May-2022-11 PM,4.38
21-May-2022-12 AM,5.06
21-May-2022-1 AM,3.99
21-May-2022-2 AM,3.79
21-May-2022-3 AM,3.67
21-May-2022-4 AM,3.65
21-May-2022-5 AM,3.55
21-May-2022-6 AM,3.9
21-May-2022-7 AM,4.12
21-May-2022-8 AM,5.31
21-May-2022-9 AM,5.27
21-May-2022-10 AM,4.41
21-May-2022-11 AM,4.04
21-May-2022-12 PM,4.45
21-May-2022-1 PM,1.53
21-May-2022-2 PM,1.39
21-May-2022-3 PM,2.4
21-May-2022-4 PM,5.57
21-May-2022-5 PM,5.08
21-May-2022-6 PM,4.14
21-May-2022-7 PM,4.13
21-May-2022-8 PM,3.44
21-May-2022-9 PM,3.35
21-May-2022-10 PM,2.63
21-May-2022-11 PM,3.91
22-May-2022-12 AM,4.04
22-May-2022-1 AM,4.16
22-May-2022-2 AM,4.08
22-May-2022-3 AM,4.1
22-May-2022-4 AM,4.3
22-May-2022-5 AM,4.5
22-May-2022-6 AM,4.66
22-May-2022-7 AM,5.11
22-May-2022-8 AM,5.91
22-May-2022-9 AM,5.58
22-May-2022-10 AM,6.05
22-May-2022-11 AM,6.75
22-May-2022-12 PM,4.45
22-May-2022-1 PM,3.31
22-May-2022-2 PM,3.97
22-May-2022-3 PM,2.95
22-May-2022-4 PM,4.32
22-May-2022-5 PM,6.51
22-May-2022-6 PM,6.25
22-May-2022-7 PM,3.68
22-May-2022-8 PM,3.28
22-May-2022-9 PM,3.27
22-May-2022-10 PM,4.74
22-May-2022-11 PM,4.89
23-May-2022-12 AM,4.02
23-May-2022-1 AM,3.53
23-May-2022-2 AM,4.79
23-May-2022-3 AM,5.94
23-May-2022-4 AM,5.6
23-May-2022-5 AM,5.61
23-May-2022-6 AM,5.76
23-May-2022-7 AM,5.87
23-May-2022-8 AM,5.23
23-May-2022-9 AM,6.45
23-May-2022-10 AM,6.11
23-May-2022-11 AM,6.53
23-May-2022-12 PM,4.53
23-May-2022-1 PM,3.38
23-May-2022-2 PM,3.93
23-May-2022-3 PM,4.47
23-May-2022-4 PM,3.57
23-May-2022-5 PM,4.48
23-May-2022-6 PM,6.23
23-May-2022-7 PM,5.37
23-May-2022-8 PM,5.22
23-May-2022-9 PM,5.94
23-May-2022-10 PM,5.6
23-May-2022-11 PM,5.08
24-May-2022-12 AM,3.91
24-May-2022-1 AM,3.31
24-May-2022-2 AM,3.71
24-May-2022-3 AM,4.13
24-May-2022-4 AM,4.56
24-May-2022-5 AM,5.45
24-May-2022-6 AM,6.38
24-May-2022-7 AM,5.82
24-May-2022-8 AM,6.38
24-May-2022-9 AM,5.87
24-May-2022-10 AM,5.34
